,code,name,eps_x,eps_yoy,bvps,roe_x,epcf,net_profits_x,profits_yoy,distrib,report_date,roe_y,net_profit_ratio,gross_profit_rate,net_profits_y,eps_y,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,time_point
361,000918,嘉凯城,-0.13,62.5,,-12.83,,-24079.87,64.01,,04-30,-13.71,-29.32,10.1208,-240.7987,-0.1334,821.2105,0.4551,1.6931,53.1569,0.0247,3643.7247,0.0243,3703.7037,1.3698,,-47.9836,-6.3406,62.5,-57.9919,1.4153,0.168,7.168,-36.5426,8.4728,91.5272,-0.589,-0.0136,,-0.0149,-1.9992,2016-04-27
362,000918,嘉凯城,-0.13,62.5,,-12.83,,-24079.87,64.01,,04-30,-13.71,-29.32,10.1208,-240.7987,-0.1334,821.2105,0.4551,1.6931,53.1569,0.0247,3643.7247,0.0243,3703.7037,1.3698,,-47.9836,-6.3406,62.5,-57.9919,1.4153,0.168,7.168,-36.5426,8.4728,91.5272,-0.589,-0.0136,,-0.0149,-1.9992,2016-04-27
363,000918,嘉凯城,-0.13,62.5,,-12.83,,-24079.87,64.01,,04-30,-13.71,-29.32,10.1208,-240.7987,-0.1334,821.2105,0.4551,1.6931,53.1569,0.0247,3643.7247,0.0243,3703.7037,1.3698,,-47.9836,-6.3406,62.5,-57.9919,1.4153,0.168,7.168,-36.5426,8.4728,91.5272,-0.589,-0.0136,,-0.0149,-1.9992,2016-04-27
364,603338,浙江鼎力,0.18,-62.5,,3.09,,2881.9,24.41,,04-30,3.04,23.15,39.4651,28.819000000000003,0.1773,124.45299999999999,0.7658,1.2061,74.6207,0.5118,175.8499,0.1518,592.8854,31.0312,24.3876,16.168,28.8947,-62.5,15.4344,3.446,2.7897,151.1363,-4388.6211,79.0022,20.9978,-0.3355,-0.0346,-1.4489,-0.165,-17.4833,2016-04-27
365,603338,浙江鼎力,0.18,-62.5,,3.09,,2881.9,24.41,,04-30,3.04,23.15,39.4651,28.819000000000003,0.1773,124.45299999999999,0.7658,1.2061,74.6207,0.5118,175.8499,0.1518,592.8854,31.0312,24.3876,16.168,28.8947,-62.5,15.4344,3.446,2.7897,151.1363,-4388.6211,79.0022,20.9978,-0.3355,-0.0346,-1.4489,-0.165,-17.4833,2016-04-27
366,603338,浙江鼎力,0.18,-62.5,,3.09,,2881.9,24.41,,04-30,3.04,23.15,39.4651,28.819000000000003,0.1773,124.45299999999999,0.7658,1.2061,74.6207,0.5118,175.8499,0.1518,592.8854,31.0312,24.3876,16.168,28.8947,-62.5,15.4344,3.446,2.7897,151.1363,-4388.6211,79.0022,20.9978,-0.3355,-0.0346,-1.4489,-0.165,-17.4833,2016-04-27
367,000981,银亿股份,0.02,-80.0,,0.95,,4942.3,-41.5,,04-30,0.94,3.61,22.7545,49.423,0.0191,1365.3251,0.5298,3.9547,22.7577,0.0648,1388.8889,0.0649,1386.7488,43.6267,-45.4377,6.9881,-10.5802,-80.0,8.0306,1.8915,0.4188,21.4706,205.5528,22.4994,77.5006,0.37799999999999995,0.0212,12.1615,0.0273,4.6779,2016-04-27
368,000981,银亿股份,0.02,-80.0,,0.95,,4942.3,-41.5,,04-30,0.94,3.61,22.7545,49.423,0.0191,1365.3251,0.5298,3.9547,22.7577,0.0648,1388.8889,0.0649,1386.7488,43.6267,-45.4377,6.9881,-10.5802,-80.0,8.0306,1.8915,0.4188,21.4706,205.5528,22.4994,77.5006,0.37799999999999995,0.0212,12.1615,0.0273,4.6779,2016-04-27
369,000981,银亿股份,0.02,-80.0,,0.95,,4942.3,-41.5,,04-30,0.94,3.61,22.7545,49.423,0.0191,1365.3251,0.5298,3.9547,22.7577,0.0648,1388.8889,0.0649,1386.7488,43.6267,-45.4377,6.9881,-10.5802,-80.0,8.0306,1.8915,0.4188,21.4706,205.5528,22.4994,77.5006,0.37799999999999995,0.0212,12.1615,0.0273,4.6779,2016-04-27
370,002625,光启技术,0.03,0.0,,1.62,,864.76,6.53,,04-30,1.6,8.9,28.5567,8.6476,0.0287,97.1077,0.3228,0.7028,128.0592,1.885,47.7454,0.4359,206.4694,2.4764,6.5314,11.3435,10.4038,0.0,11.3435,1.3363,1.1182,5.8459,2866.5255,75.3366,24.6634,0.1586,0.0216,1.7814,0.0874,9.1896,2016-04-27
